County,TotalCases,TotalDeaths,Date
Allegan,1,NA,2020-03-23
Barry,1,NA,2020-03-23
Bay,1,NA,2020-03-23
Berrien,5,NA,2020-03-23
Calhoun,3,NA,2020-03-23
Charlevoix,2,NA,2020-03-23
Chippewa,1,NA,2020-03-23
Clare,1,NA,2020-03-23
Clinton,2,NA,2020-03-23
Detroit City,411,6,2020-03-23
Eaton,2,NA,2020-03-23
Emmet,1,NA,2020-03-23
Genesee,23,NA,2020-03-23
Gladwin,1,NA,2020-03-23
Grand Traverse,1,NA,2020-03-23
Ingham,12,NA,2020-03-23
Jackson,1,NA,2020-03-23
Kalamazoo,3,NA,2020-03-23
Kent,28,1,2020-03-23
Leelanau,1,NA,2020-03-23
Livingston,9,NA,2020-03-23
Macomb,175,2,2020-03-23
Midland,5,NA,2020-03-23
Monroe,7,NA,2020-03-23
Montcalm,1,NA,2020-03-23
Muskegon,1,NA,2020-03-23
Newaygo,1,NA,2020-03-23
Oakland,329,4,2020-03-23
Otsego,3,NA,2020-03-23
Ottawa,11,NA,2020-03-23
Roscommon,1,NA,2020-03-23
Saginaw,2,NA,2020-03-23
St. Clair,7,NA,2020-03-23
Tuscola,1,NA,2020-03-23
Washtenaw,42,NA,2020-03-23
Wayne,227,2,2020-03-23
Wexford,1,NA,2020-03-23
Out of State,4,NA,2020-03-23
Bay,1,NA,2020-03-24
Berrien,3,NA,2020-03-24
Calhoun,1,NA,2020-03-24
Charlevoix,1,NA,2020-03-24
Clinton,3,NA,2020-03-24
Detroit City,152,2,2020-03-24
Eaton,1,NA,2020-03-24
Emmet,1,NA,2020-03-24
Genesee,11,NA,2020-03-24
Gladwin,1,NA,2020-03-24
Grand Traverse,2,NA,2020-03-24
Hillsdale,1,NA,2020-03-24
Ingham,3,NA,2020-03-24
Isabella,2,NA,2020-03-24
Jackson,5,NA,2020-03-24
Kalkaska,1,NA,2020-03-24
Kent,3,NA,2020-03-24
Lapeer,1,NA,2020-03-24
Livingston,4,NA,2020-03-24
Macomb,50,1,2020-03-24
Manistee,1,NA,2020-03-24
Monroe,5,NA,2020-03-24
Muskegon,2,NA,2020-03-24
Newaygo,1,NA,2020-03-24
Oakland,99,NA,2020-03-24
Otsego,2,NA,2020-03-24
Ottawa,4,NA,2020-03-24
Saginaw,6,NA,2020-03-24
St. Clair,1,NA,2020-03-24
Washtenaw,8,3,2020-03-24
Wayne,83,3,2020-03-24
Out of State,2,NA,2020-03-24
Not Reported,2,NA,2020-03-24
Bay,1,NA,2020-03-25
Berrien,2,NA,2020-03-25
Calhoun,2,NA,2020-03-25
Charlevoix,1,NA,2020-03-25
Clinton,1,NA,2020-03-25
Detroit City,142,4,2020-03-25
Genesee,12,NA,2020-03-25
Hillsdale,1,NA,2020-03-25
Ingham,3,NA,2020-03-25
Iosco,1,NA,2020-03-25
Jackson,6,NA,2020-03-25
Kalamazoo,2,NA,2020-03-25
Kalkaska,1,NA,2020-03-25
Kent,5,NA,2020-03-25
Lenawee,3,NA,2020-03-25
Livingston,3,1,2020-03-25
Luce,1,NA,2020-03-25
Macomb,56,4,2020-03-25
Marquette,1,NA,2020-03-25
Midland,1,NA,2020-03-25
Monroe,6,NA,2020-03-25
Montcalm,1,NA,2020-03-25
Oakland,115,6,2020-03-25
Otsego,1,NA,2020-03-25
Ottawa,1,NA,2020-03-25
Saginaw,1,NA,2020-03-25
Sanilac,1,NA,2020-03-25
St. Clair,2,NA,2020-03-25
Tuscola,1,NA,2020-03-25
Van Buren,2,NA,2020-03-25
Washtenaw,22,NA,2020-03-25
Wayne,107,4,2020-03-25
Out of State,1,NA,2020-03-25
Detroit City,146,3,2020-03-26
Oakland,125,5,2020-03-26
Wayne,121,2,2020-03-26
Macomb,66,4,2020-03-26
Washtenaw,20,NA,2020-03-26
Genesee,17,1,2020-03-26
Other*,13,NA,2020-03-26
Jackson,5,NA,2020-03-26
Kalamazoo,5,NA,2020-03-26
Kent,5,NA,2020-03-26
Livingston,5,NA,2020-03-26
Ingham,4,NA,2020-03-26
Hillsdale,3,NA,2020-03-26
Monroe,3,NA,2020-03-26
St. Clair,3,NA,2020-03-26
Ionia,2,NA,2020-03-26
Lapeer,2,NA,2020-03-26
Lenawee,2,NA,2020-03-26
Ottawa,2,NA,2020-03-26
Bay,1,NA,2020-03-26
Berrien,1,NA,2020-03-26
Calhoun,1,NA,2020-03-26
Cass,1,NA,2020-03-26
Clinton,1,NA,2020-03-26
Eaton,1,NA,2020-03-26
Isabella,1,NA,2020-03-26
Mecosta,1,1,2020-03-26
Missaukee,1,NA,2020-03-26
Montcalm,1,NA,2020-03-26
Oceana,1,NA,2020-03-26
Ogema,1,NA,2020-03-26
Otsego,1,NA,2020-03-26
Saginaw,1,NA,2020-03-26
Shiawassee,1,NA,2020-03-26
Tuscola,NA,1,2020-03-26
